"Plaza Alberdi","Facultad de Informática","(4) a Est. I.N.T.A.","(3) a Esc. Alberdi
","Comments"
58,54,57,53,
"05:50:00","06:16:00",,"6:20 (3)",
"06:31:00","06:57:00","7:01 (4)",,
"07:20:00","07:46:00",,"7:50 (3)",
"08:03:00","08:31:00","8:35 (4)",,
"08:48:00","09:16:00",,"9:20 (3)",
"09:33:00","10:01:00","10:05 (4)",,
"10:18:00","10:46:00",,"10:50 (3)",
"11:03:00","11:31:00","11:35 (4)",,
"11:48:00","12:16:00",,"12:20 (3)",
"12:33:00","13:01:00","13:05 (4)",,
"13:18:00","13:46:00",,"13:50 (3)",
"14:03:00","14:31:00","14:35 (4)",,
"14:48:00","15:16:00",,"15:20 (3)",
"15:33:00","16:01:00","16:05 (4)",,
"16:18:00","16:46:00",,"16:50 (3)",
"17:03:00","17:31:00","17:35 (4)",,
"17:48:00","18:16:00",,"18:20 (3)",
"18:33:00","19:01:00","19:05 (4)",,
"19:18:00","19:46:00",,"19:50 (3)",
"20:03:00","20:31:00","20:35 (4)",,
"20:48:00","21:16:00",,"21:20 (3)",
"21:22:00","21:47:00","21:51 (4)",,
"22:07:00","-",,"-",
